2021-05-20 10:55:38,836 DEBUG    root            Loaded Command Group: ['gcloud', 'compute']
2021-05-20 10:55:38,844 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'instances']
2021-05-20 10:55:38,857 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'instances', 'list']
2021-05-20 10:55:38,860 DEBUG    root            Running [gcloud.compute.instances.list] with arguments: []
2021-05-20 10:55:39,050 INFO     root            Display format: "    table(
      name,
      zone.basename(),
      machineType.machine_type().basename(),
      scheduling.preemptible.yesno(yes=true, no=''),
      networkInterfaces[].networkIP.notnull().list():label=INTERNAL_IP,
      networkInterfaces[].accessConfigs[0].natIP.notnull().list()      :label=EXTERNAL_IP,
      status
    )"
2021-05-20 10:55:39,056 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): compute.googleapis.com:443
2021-05-20 10:55:39,568 DEBUG    urllib3.connectionpool https://compute.googleapis.com:443 "POST /batch/compute/v1 HTTP/1.1" 200 None
2021-05-20 10:55:39,589 INFO     root            cache collection=compute.instances api_version=v1 params=['project', 'zone', 'instance']
2021-05-20 10:55:39,640 INFO     ___FILE_ONLY___ NAME
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___        
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___ ZONE
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___            
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___ MACHINE_TYPE
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___ PREEMPTIBLE
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___ INTERNAL_IP
2021-05-20 10:55:39,641 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ EXTERNAL_IP
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___     
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ STATUS
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ 

2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ kubernets
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ asia-south1-c
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ e2-medium
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___                   
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ 10.160.0.2
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___    
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___ 35.200.243.27
2021-05-20 10:55:39,642 INFO     ___FILE_ONLY___   
2021-05-20 10:55:39,643 INFO     ___FILE_ONLY___ RUNNING
2021-05-20 10:55:39,643 INFO     ___FILE_ONLY___ 

2021-05-20 10:55:39,643 DEBUG    root            SDK update checks are disabled.
